salary,workYear,district,positionName,positionAdvantage,education,companyFullName,createTime
10k-20k,5-10年,南山区,Python工程师（外包-南山科技园）,"外包,双休,南山科技园,少加班",大专,福瑞博德软件开发（深圳）有限公司,2017-09-25 16:20:58
20k-28k,3-5年,南山区,资深Python工程师,"架构经验,熟知数据库,善于沟通,指导队员",本科,深圳米筐科技有限公司,2017-09-18 10:12:29
10k-15k,1-3年,,Python开发工程师,五险一金、带薪年假、周末双休、下午茶,本科,深圳数睿广告科技有限公司,2017-09-28 14:01:57
18k-35k,5-10年,南山区,Python（高级&amp;资深&amp;leader）,管理/技术全面提升、平台大福利好,本科,深圳市明源云客电子商务有限公司,2017-09-29 09:50:40
18k-30k,3-5年,南山区,监控系统开发工程师-Python,"五险一金,带薪休假,绩效奖金",本科,腾讯科技(深圳)有限公司,2017-09-25 09:54:30
20k-40k,3-5年,盐田区,高级Python开发工程师 (深圳),技术大牛多，弹性工作制，海景办公室,本科,深圳码隆科技有限公司,2017-09-27 12:02:18
8k-15k,1-3年,南山区,软件开发工程师（Python方向）,"加班少,专注核心,行业领先,发展快",本科,五谷磨房食品集团有限公司,2017-09-19 14:51:31
15k-25k,3-5年,南山区,Python开发工程师,"周末双休,下午茶时光,扁平化管理",大专,广州优融网络科技有限责任公司,2017-09-27 14:30:53
15k-25k,3-5年,南山区,Python/ C++开发－服务机器人应用程序,在最高视野完成服务机器人的开发与部署,本科,深圳市阿西莫夫科技有限公司,2017-09-29 10:47:53
9k-16k,不限,南山区,Python开发,"技术驱动,弹性工作,绩效奖金,技术大牛",本科,深圳前海融数通科技有限公司,2017-08-29 10:22:24
18k-30k,3-5年,福田区,Python 算法工程师,"技术成长快,公司前景好,领导好",本科,深圳晶泰科技有限公司,2017-09-28 17:04:47
15k-30k,3-5年,南山区,Python,帅哥美女 扁平化 团队棒 期权 环境佳,本科,深圳市小闪快送网络科技有限公司,2017-09-25 09:49:43
16k-20k,3-5年,南山区,Python 开发工程师,"加班费,项目好,主管好,金融行业",本科,福瑞博德软件开发（深圳）有限公司,2017-09-21 09:47:59
15k-25k,1-3年,福田区,机器学习工程师（Python）-深圳,六险一金、弹性工作、奖金丰厚、技术牛人多,本科,北京国双科技有限公司,2017-09-25 15:46:44
18k-30k,3-5年,南山区,HY2-监控系统开发工程师-Python（深圳）,"五险一金,绩效奖金,带薪休假",本科,腾讯科技(深圳)有限公司,2017-09-25 09:54:32
15k-25k,不限,龙华新区,python工程师,基本薪资+补助+年终奖，年度体检+旅游；,不限,广州赛意信息科技股份有限公司,2017-09-27 09:06:22
10k-20k,1-3年,南山区,python开发工程师,"大牛团队,扁平化管理,薪酬福利优,发展空间大",本科,智言科技(深圳)有限公司,2017-09-27 13:26:53
15k-25k,3-5年,宝安区,Python后台开发工程师,"待遇优厚,成长空间大,弹性上班,下午茶",本科,深圳小步网络科技有限公司,2017-09-28 09:53:50
15k-30k,3-5年,宝安区,Python讲师,"五险一金,五天八小时,旅游,晋升",大专,北京千锋互联科技有限公司,2017-09-29 09:25:45
15k-30k,3-5年,南山区,python后台开发工程师,"挑战大,前景好,弹性上班,福利好",本科,顺丰科技有限公司,2017-09-29 10:24:45
14k-18k,3-5年,南山区,python开发工程师,"待遇丰厚,工作环境好,双休",大专,深圳网脊科技开发有限公司,2017-09-28 14:44:35
7k-14k,不限,南山区,代码编程老师（Python）,"五险一金,节日福利,餐饮补贴,运动健身",本科,深圳市编玩边学教育科技有限公司,2017-09-29 09:14:53
8k-15k,3-5年,福田区,Python开发工程师,"Pytho,软件开发",本科,广东管车所资产管理有限公司,2017-09-14 14:04:02
10k-20k,1-3年,宝安区,python开发工程师,"五险一金,免费班车",大专,深圳市对酒当歌科技有限公司,2017-09-29 10:06:43
18k-25k,5-10年,南山区,资深JAVA/Python程序员,"钱途广阔,资深",本科,深圳市卓泰居网络科技有限公司,2017-09-28 14:16:50
15k-30k,3-5年,南山区,Python后台开发/数据平台/Senior,"牛逼的伙伴,专注的开发,舒服的氛围,薪酬待遇",本科,岩心科技（深圳）有限公司,2017-09-22 20:57:33
15k-30k,3-5年,,Python测试开发工程师,给力薪酬 海景办公楼 高配健身房 员工食堂,本科,广东欧珀移动通信有限公司,2017-09-11 09:47:05
15k-20k,3-5年,南山区,中高级Python开发工程师,"保险项目,架构设计",大专,福瑞博德软件开发（深圳）有限公司,2017-09-18 09:47:31
18k-30k,3-5年,南山区,云平台高级开发工程师-Python,"五险一金,带薪休假,绩效奖金",本科,腾讯科技(深圳)有限公司,2017-09-25 09:54:29
15k-25k,1-3年,南山区,Python软件工程师,人工智能,本科,深圳市和美信息技术有限公司,2017-09-29 11:02:45
13k-26k,1-3年,南山区,Python研发工程师,"玩转开源,系统达人",本科,深圳市前海源伞科技有限公司,2017-09-26 11:49:24
8k-13k,不限,南山区,Python工程师,"核心投研,交易系统,好学上进,Linux",本科,深圳米筐科技有限公司,2017-09-18 10:12:32
15k-20k,5-10年,南山区,python高级开发工程师,"待遇丰厚,工作环境好,双休",大专,深圳网脊科技开发有限公司,2017-09-25 14:47:31
6k-10k,1-3年,南山区,Python后端开发工程师,"五险一金,年终奖,生日福利,员工福利",本科,广东安创信息科技开发有限公司,2017-09-21 11:11:04
15k-30k,3-5年,南山区,python高级开发工程师,"技术大牛,硕博人才,精尖团队",本科,深圳市华傲数据技术有限公司,2017-09-27 10:40:55
15k-20k,3-5年,福田区,Python开发工程师,"五险一金,双休,节日福利,有薪年假",大专,深圳华策辉弘科技有限公司,2017-09-28 09:47:33
11k-18k,1-3年,南山区,python开发工程师,"成长机会,高手如云,环境好,氛围轻松",本科,浪潮通用软件有限公司深圳研发中心,2017-09-14 08:12:18
10k-20k,1-3年,南山区,Python工程师,"五险一金,提供住宿,员工旅游",大专,深圳市南方网通网络技术开发有限公司,2017-09-27 09:11:56
10k-15k,1-3年,南山区,python开发工程师,"平台大,福利好",本科,深圳市富士智能系统有限公司,2017-09-25 09:59:19
20k-40k,1-3年,南山区,python后台开发工程师,"福利好,发展空间大",本科,深圳市透明伞科技有限公司,2017-09-29 14:36:07
10k-15k,3-5年,南山区,Python开发工程师,高度弹性,大专,深圳市蓝泰源信息技术股份有限公司,2017-09-06 18:43:20
10k-20k,1-3年,南山区,PYTHON开发工程师（游戏服务端),"新项目,项目前景好,绩效奖励高,晋升空间大",本科,深圳市正易龙科技有限公司,2017-09-29 10:01:42
15k-30k,1-3年,南山区,python后台开发工程师,"大数据,大平台",本科,腾讯科技(深圳)有限公司,2017-09-21 11:21:24
8k-15k,1-3年,南山区,Python工程师,"下午茶,五险一金,五天双休,年终奖",大专,深圳触云科技有限公司,2017-09-27 16:22:50
15k-25k,3-5年,南山区,高级运维开发工程师(Python),"福利好,年底双薪,与大牛共事",大专,深圳市贤利智科技有限公司,2017-09-19 13:38:20
10k-16k,不限,宝安区,Java研发工程师／Python研发工程师,"全勤奖,绩效奖金,五险一金,员工旅游",不限,深圳微自然创新科技有限公司,2017-09-25 09:18:09
13k-25k,1-3年,宝安区,python工程师,"优秀的团队,成长空间大,技术合伙人,温暖的氛围",本科,深圳众米网络科技有限公司,2017-09-23 12:29:13
10K-15K,3-5年,南山区,Python工程师,"移动安全,云数据安全",本科,云之道（深圳）信息技术有限公司,2017-09-22 09:10:10
18k-30k,5-10年,南山区,Python高级DevOps工程师,发展,本科,深圳市泽林信息咨询有限公司,2017-09-29 09:00:39
13k-20k,1-3年,罗湖区,Python开发工程师,"软件开发,系统分析,信息分析,开发维护",本科,深圳市中科普瑞基因科技有限公司,2017-09-07 11:39:21
20k-30k,5-10年,福田区,高级Python开发,"弹性工作,团队激情",本科,万科物业发展有限公司,2017-08-31 15:54:04
12k-24k,3-5年,南山区,Python开发工程师,"扁平化管理,发展空间大,产品有竞争,氛围融洽",本科,深圳市杉岩数据技术有限公司,2017-09-27 10:18:58
8k-12k,1-3年,宝安区,python开发工程师,"周末双休,五险一金,出差旅游,节日福利",大专,深圳博看辰思科技有限公司,2017-09-26 17:21:05
5k-10k,1-3年,龙岗区,Python 工程师,"周末双休,核心岗位,重点培养",大专,深圳市中企工联保家电服务有限公司,2017-09-25 16:35:52
15k-20k,1-3年,南山区,python开发工程师,"良好的发展,人性化管理",本科,上海胜日信息科技有限公司,2017-09-25 09:19:54
15k-30k,3-5年,南山区,高级Python工程师/面向对象高级Python工,"数据建模,机器学习,专注专业",本科,岩心科技（深圳）有限公司,2017-09-22 20:57:34
15k-25k,3-5年,南山区,Python开发工程师,"海归团队,扁平化管理,弹性工作,有晋升空间",本科,武汉低温宝信息有限公司,2017-09-14 11:31:56
18k-30k,3-5年,南山区,HY2-python后台开发工程师（深圳）,"五险一金,绩效奖金,带薪休假",本科,腾讯科技(深圳)有限公司,2017-09-25 09:54:32
10k-20k,3-5年,南山区,Python 软件开发工程师,五险一金，每年调薪机会，健身房，气氛好,本科,首汇焦点（北京）科技有限公司,2017-09-26 14:25:44
15k-30k,1-3年,南山区,Python工程师（数据平台）,"丰厚年终奖,五险一金,年度旅游,年度体检",本科,深圳市一面网络技术有限公司,2017-09-26 11:31:06
10K-20K,3-5年,福田区,Python开发工程师,规范化项目管理，成长空间大。,大专,深圳市聚才智咨询管理有限公司,2017-08-30 12:21:32
7k-14k,1-3年,南山区,Python开发工程师,"富有挑战性,零食",本科,深圳市百答科技有限公司,2017-09-26 11:19:33
